"GEO_ID","NAME","B08301_001E","B08301_001M","B08301_002E","B08301_002M","B08301_003E","B08301_003M","B08301_004E","B08301_004M","B08301_005E","B08301_005M","B08301_006E","B08301_006M","B08301_007E","B08301_007M","B08301_008E","B08301_008M","B08301_009E","B08301_009M","B08301_010E","B08301_010M","B08301_011E","B08301_011M","B08301_012E","B08301_012M","B08301_013E","B08301_013M","B08301_014E","B08301_014M","B08301_015E","B08301_015M","B08301_016E","B08301_016M","B08301_017E","B08301_017M","B08301_018E","B08301_018M","B08301_019E","B08301_019M","B08301_020E","B08301_020M","B08301_021E","B08301_021M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Car, truck, or van","Margin of Error!!Total!!Car, truck, or van","Estimate!!Total!!Car, truck, or van!!Drove alone","Margin of Error!!Total!!Car, truck, or van!!Drove alone","Estimate!!Total!!Car, truck, or van!!Carpooled","Margin of Error!!Total!!Car, truck, or van!!Carpooled","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 2-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 2-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 3-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 3-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 4-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 4-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 5- or 6-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 5- or 6-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 7-or-more-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 7-or-more-person carpool","Estimate!!Total!!Public transportation (excluding taxicab)","Margin of Error!!Total!!Public transportation (excluding taxicab)","Estimate!!Total!!Public transportation (excluding taxicab)!!Bus or trolley bus","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Bus or trolley bus","Estimate!!Total!!Public transportation (excluding taxicab)!!Streetcar or trolley car (carro publico in Puerto Rico)","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Streetcar or trolley car (carro publico in Puerto Rico)","Estimate!!Total!!Public transportation (excluding taxicab)!!Subway or elevated","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Subway or elevated","Estimate!!Total!!Public transportation (excluding taxicab)!!Railroad","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Railroad","Estimate!!Total!!Public transportation (excluding taxicab)!!Ferryboat","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Ferryboat","Estimate!!Total!!Taxicab","Margin of Error!!Total!!Taxicab","Estimate!!Total!!Motorcycle","Margin of Error!!Total!!Motorcycle","Estimate!!Total!!Bicycle","Margin of Error!!Total!!Bicycle","Estimate!!Total!!Walked","Margin of Error!!Total!!Walked","Estimate!!Total!!Other means","Margin of Error!!Total!!Other means","Estimate!!Total!!Worked at home","Margin of Error!!Total!!Worked at home"
"0400000US36","New York","9024559","30864","5388740","27709","4766202","27868","622538","14919","482083","13552","83463","5028","29195","2789","14689","1887","13108","1918","2521815","24926","563926","12705","10388","2083","1676835","21753","258762","7273","11904","2036","50150","4617","8262","1351","62021","5368","574861","14806","58377","4913","360333","11526"
"0400000US37","North Carolina","4348669","20936","3963440","20239","3527267","22082","436173","10742","332426","9524","59245","4595","21786","3163","12977","3269","9739","2262","49130","3952","46215","3977","348","241","995","516","720","338","852","395","4493","1344","8934","1274","9293","1791","80677","6133","35834","4056","196868","7649"
"0400000US38","North Dakota","387697","4300","345312","4903","306169","4501","39143","3597","27103","2598","6811","1580","3376","1113","982","403","871","605","1680","514","1652","514","16","27","0","149","0","149","12","20","354","272","872","423","1980","638","17564","1896","3018","874","16917","1414"
"0400000US39","Ohio","5241598","25078","4791846","23335","4383642","23963","408204","13265","325514","10961","48297","4286","15941","1871","9977","1744","8475","1430","88393","5022","83648","4843","1262","612","2719","778","468","229","296","213","5317","1434","6623","1237","17335","2157","117442","5904","31961","3358","182681","7490"
"0400000US40","Oklahoma","1703568","10166","1585619","10657","1420270","10922","165349","6131","128842","4960","21848","2461","7992","1108","4810","1641","1857","644","9039","1330","8794","1347","0","157","50","51","7","15","188","201","824","377","2362","656","4672","1028","28664","2660","15164","1586","57224","3337"
"0400000US41","Oregon","1745718","13311","1428627","15797","1249678","14617","178949","9168","141124","8028","22827","2983","6022","1475","6018","1744","2958","1004","74883","4569","58812","3865","6644","1581","6244","1453","3155","1191","28","45","738","431","5175","1218","42597","3982","70272","4753","13092","1968","110334","5784"
"0400000US42","Pennsylvania","5867765","21065","4997269","22850","4507420","22663","489849","13376","384320","10912","58379","4057","21970","2413","16245","2605","8935","1613","327421","9805","218157","9189","5420","1004","44952","3845","58749","3920","143","146","4929","1095","7493","1189","31262","3135","228809","8053","42817","3311","227765","7559"
"0400000US44","Rhode Island","505361","7913","446574","7182","405997","7354","40577","3622","30982","2955","4966","1168","2778","1124","977","385","874","484","13420","2149","9654","1799","0","210","235","213","3448","969","83","140","218","227","278","195","2655","1052","20509","2617","5956","1652","15751","1972"
"0400000US45","South Carolina","2064944","15572","1897807","16541","1712699","15506","185108","7599","138452","6263","28261","3466","11560","2670","4126","1014","2709","1033","14559","2221","13473","2159","316","306","453","348","167","193","150","128","2176","784","4015","1015","6661","1203","51361","4198","20030","2141","68335","4721"
"0400000US46","South Dakota","427117","4859","379912","5152","340605","5336","39307","2987","27913","2690","6362","1136","2964","952","1126","531","942","556","1256","524","1075","454","0","155","0","155","0","155","181","272","47","80","1357","574","1553","609","17790","2106","2817","918","22385","2147"
"0400000US47","Tennessee","2837090","18828","2641028","18672","2380225","17855","260803","9414","204467","8310","34901","3557","10428","1738","7475","1952","3532","943","21201","2675","20229","2677","140","190","50","83","536","287","246","214","1489","704","4113","1016","5156","1173","38422","3591","25028","3162","100653","5560"
